embedding,clustering,k,alpha,mean,std
glove_pretrained,spectral,4,0.5,0.51038,0.07104119931420078
glove_pretrained,spectral,4,0.75,0.51852,0.06252081253470718
glove_pretrained,spectral,5,0.25,0.4632,
glove_pretrained,spectral,5,0.5,0.4632,
glove_pretrained,spectral,5,0.75,0.5035,
gte,dbscan,2,0.25,0.41123333333333334,0.1697218155296091
gte,dbscan,2,0.5,0.41123333333333334,0.1697218155296091
gte,dbscan,2,0.75,0.41123333333333334,0.1697218155296091
gte,dbscan,3,0.25,0.215,0.07368052659963827
gte,dbscan,3,0.5,0.215,0.07368052659963827
gte,dbscan,3,0.75,0.216,0.07226631303726516
gte,dbscan,4,0.25,0.1753,
gte,dbscan,4,0.5,0.1753,
gte,dbscan,4,0.75,0.1753,
gte,hac,2,0.25,0.58799,0.24296755819107485
gte,hac,2,0.5,0.71,0.11452120618761699
gte,hac,2,0.75,0.71,0.11452120618761699
gte,hac,3,0.25,0.52046,0.11572530886159307
gte,hac,3,0.5,0.56409,0.10168446237694768
gte,hac,3,0.75,0.56517,0.10018731401174948
gte,hac,4,0.25,0.44298000000000004,0.147665033098564
gte,hac,4,0.5,0.47702,0.08112072484883254
gte,hac,4,0.75,0.50464,0.05237149033586881
gte,hac,5,0.25,0.47,
gte,hac,5,0.5,0.47,
gte,hac,5,0.75,0.47,
gte,hdbscan,2,0.25,0.4661555555555556,0.11352489937356376
gte,hdbscan,2,0.5,0.4661555555555556,0.11352489937356376
gte,hdbscan,2,0.75,0.4557333333333334,0.11870943517682156
gte,hdbscan,3,0.25,0.27865,0.06586861923556621
